threadid	postcount	postcount_cutoff	length_of_title	length_of_opening_post	avg_postlength	question_count	avg_cossim_with_thread	avg_cossim_with_previous	category
249748	58	50	41	4467	241	59	0.441643391878	0.21338221522	Psyche
249796	20	20	40	675	439	2	0.624631561008	0.320168327426	Digi
250416	135	50	18	772	113	2	0.466096223708	0.197597843713	Zwanger
251096	26	26	59	2674	848	4	0.667422176458	0.423029447989	Zwanger
251261	32	32	44	454	355	1	0.49324467858	0.2101886529	Kinderen
251509	34	34	40	2064	546	2	0.467593764811	0.241012459283	Psyche
252725	34	34	28	615	265	1	0.489229223046	0.231385319524	Gezondheid
254109	41	41	29	345	649	2	0.557089002669	0.357827703515	Psyche
258245	81	50	42	1902	529	4	0.647742674237	0.427209302072	Werk & Studie
258983	886	50	13	790	32	3	0.585334021784	0.375162919686	Entertainment
259047	23	23	21	611	235	2	0.432096139307	0.239961053753	Zwanger
259161	43	43	36	1570	537	1	0.542224372662	0.280429939416	Geld & Recht
259601	271	50	45	545	93	0	0.52034496147	0.280105159534	Zwanger
259881	23	23	17	3471	661	1	0.582156063036	0.294176238467	Relaties
267733	33	33	28	1099	395	6	0.476238815136	0.22160215796	Overig
269715	113	50	44	1684	275	2	0.549759191448	0.308072931346	Kinderen
272323	413	50	56	1730	94	3	0.566939287709	0.323960348416	Zwanger
272453	42	42	33	262	451	2	0.613683730096	0.433687004241	Zwanger
273311	42	42	50	170	427	1	0.503246681139	0.275129720922	Zwanger
279669	285	50	25	1379	89	1	0.514604513665	0.275914927664	Zwanger
280847	21	21	8	151	327	2	0.558364809993	0.257168200313	Zwanger
281415	56	50	59	217	360	1	0.476224387794	0.231111917125	Zwanger
281465	157	50	24	756	139	2	0.567241275854	0.350029240827	Zwanger
282827	23	23	25	867	544	1	0.605502510275	0.441810999882	Zwanger
286745	73	50	20	1959	290	2	0.484586960947	0.227077471338	Geld & Recht
42238	244	50	21	280	34	3	0.342966428157	0.153841678327	Overig
70161	71	50	21	368	175	1	0.384882398194	0.169786603749	Psyche
86478	34	34	26	386	227	1	0.47628641354	0.213171610168	Kinderen
