threadid	postid	abspos	relpos	noresponses	noofupvotes	cosinesimwthread	cosinesimwtitle	wordcount	uniquewordcount	ttr	relpunctcount	avgwordlength	avgsentlength	relauthorcountsinthread	votes_for_this_post
220912	2	-1.393159167	-1.66398079273	-0.179358553461	0.0	0.264271216792	0.40046780637	-0.314745450947	-0.304269541515	0.0987237700994	-0.304309033844	-0.084543488265	-0.14859849654	-0.26347629571	3
233189	21	0.0422433135643	-0.324572078328	-0.179358553461	0.0	0.301078972752	-0.0233794609786	0.0733961334256	0.197476580371	-0.270852664031	-0.44802095344	-0.23186070616	2.47074871987	-0.189228650044	0
186650	17	-0.259946682345	1.00842798194	-0.179358553461	0.0	-0.755415779263	0.0446746858487	-0.466626940484	-0.481356408063	0.671087273607	-0.329119463031	-0.145124416299	-0.0758388516392	-0.0249838581175	3
212504	12	-0.637684177231	-0.784469306081	-0.179358553461	0.0	1.34367454319	1.47596490439	0.815927860052	0.817280613289	-1.28268505223	-0.242248635438	-0.0194805267437	0.748770457231	-0.333009805143	9
198410	39	1.40209829516	0.944341440582	-0.179358553461	0.0	-1.10445138065	-0.681832663971	-0.635384151081	-0.746986707885	0.989066997778	0.901229720309	10.8663501499	-1.1963373831	0.206758793506	0
102097	8	-0.93987417314	-1.24100961976	-0.179358553461	0.0	0.728185294868	-0.681832663971	-0.112236798231	-0.00912476393513	0.0351278252652	0.150789827148	-0.30548569639	-0.112218674089	-0.090231789157	2
233017	46	1.930930788	1.43780780905	-0.179358553461	0.0	1.8792312239	-0.148803042976	1.64283819198	1.82077285706	-1.20629986499	-0.344761213356	-0.000140245258359	0.75685486222	-0.337723941376	3
224472	13	-0.562136678254	-0.888533642288	-0.179358553461	0.0	-0.966462230717	-0.681832663971	-0.71976275638	-0.894559096675	0.989066997778	-0.359477841498	1.2624912645	-0.730675655742	-0.312974726154	2
273311	10	-0.788779175186	-0.952315009641	-0.179358553461	0.0	-0.568030317539	0.093742307642	-0.365372614126	-0.392812974789	-0.000203255198204	0.211865547578	0.0845287749418	-0.342624216274	-0.126766344961	0
116293	21	0.0422433135643	1.10702266095	-0.179358553461	0.0	0.689583802465	-0.117967028331	-0.14598824035	-0.156697152725	-0.513387198929	-0.383791929407	-0.527318800516	0.336465802796	0.351446513264	5
258245	11	-0.713231676209	-1.02952403328	-0.179358553461	0.0	1.73336159504	0.851243380127	2.08160693953	2.23397554567	-1.34031935371	-0.443040023932	-0.16750040887	0.899140390026	-0.238727080488	7
105430	25	0.344433309473	0.988400937766	-0.179358553461	0.0	-0.0664202094479	-0.0858874306876	0.157774738724	0.256505535887	-0.50763066944	-0.380081425683	0.00233423206	0.113336225102	-0.323802507813	3
259601	47	2.00647828697	1.50830300454	-0.179358553461	0.0	-2.22073429257	-0.681832663971	-0.804141361678	-1.04213148546	0.989066997778	0.743181833552	1.13776582443	-1.45827210475	0.454250945724	1
286745	27	0.495528307428	0.0983990946419	-0.179358553461	0.0	-0.842800454013	-0.681832663971	-0.669135593201	-0.806015663401	0.989066997778	-0.385731643285	-0.0263382828988	-0.29411778634	-0.337723941376	1
232192	7	-1.01542167212	-1.31150481526	0.00550930710291	0.0	-1.04443000949	0.49757693022	-0.618508430022	-0.717472230127	0.989066997778	-0.436280007919	0.0775995838267	0.142440083062	-0.312974726154	2
